"games","count"
"1896 Summer",12
"1900 Summer",31
"1904 Summer",15
"1906 Summer",21
"1908 Summer",22
"1912 Summer",29
"1920 Summer",29
"1924 Summer",45
"1924 Winter",19
"1928 Summer",46
"1928 Winter",25
"1932 Summer",47
"1932 Winter",17
"1936 Summer",49
"1936 Winter",28
"1948 Summer",59
"1948 Winter",28
"1952 Summer",69
"1952 Winter",30
"1956 Summer",72
"1956 Winter",32
"1960 Summer",84
"1960 Winter",30
"1964 Summer",93
"1964 Winter",36
"1968 Summer",112
"1968 Winter",37
"1972 Summer",121
"1972 Winter",35
"1976 Summer",92
"1976 Winter",37
"1980 Summer",80
"1980 Winter",37
"1984 Summer",140
"1984 Winter",49
"1988 Summer",159
"1988 Winter",57
"1992 Summer",169
"1992 Winter",64
"1994 Winter",67
"1996 Summer",197
"1998 Winter",72
"2000 Summer",200
"2002 Winter",77
"2004 Summer",201
"2006 Winter",79
"2008 Summer",204
"2010 Winter",82
"2012 Summer",205
"2014 Winter",89
"2016 Summer",207
