"games","total_num_sports"
"2016 Summer",34
"2014 Winter",15
"2012 Summer",32
"2010 Winter",15
"2008 Summer",34
"2006 Winter",15
"2004 Summer",34
"2002 Winter",15
"2000 Summer",34
"1998 Winter",14
"1996 Summer",31
"1994 Winter",12
"1992 Winter",12
"1992 Summer",29
"1988 Winter",10
"1988 Summer",27
"1984 Winter",10
"1984 Summer",25
"1980 Winter",10
"1980 Summer",23
"1976 Winter",10
"1976 Summer",23
"1972 Winter",10
"1972 Summer",23
"1968 Winter",10
"1968 Summer",20
"1964 Winter",10
"1964 Summer",21
"1960 Winter",8
"1960 Summer",19
"1956 Winter",8
"1956 Summer",19
"1952 Winter",8
"1952 Summer",19
"1948 Winter",9
"1948 Summer",20
"1936 Winter",8
"1936 Summer",24
"1932 Winter",7
"1932 Summer",18
"1928 Winter",8
"1928 Summer",17
"1924 Winter",10
"1924 Summer",20
"1920 Summer",25
"1912 Summer",17
"1908 Summer",24
"1906 Summer",13
"1904 Summer",18
"1900 Summer",20
"1896 Summer",9
